time(s),current(A)
36.211,-7.3677
36.223,-7.4297
36.239,-7.4519
36.255,-7.4213
36.271,-7.3629
36.287,-7.3033
36.303,-7.2612
36.319,-7.2443
36.342,-7.254
36.366,-7.2811
36.389,-7.3017
36.412,-7.3043
36.442,-7.2875
36.472,-7.2658
36.5,-7.2537
36.535,-7.2509
36.58,-7.2511
36.626,-7.245
36.682,-7.2306
36.753,-7.215
36.84,-7.2008
36.94,-7.1838
37,-7.1726
37,-7.1727
37,-7.1734
37.001,-7.1755
37.001,-7.1833
37.001,-7.1982
37.001,-7.2215
37.002,-7.2543
37.002,-7.2974
37.003,-7.3678
37.003,-7.4804
37.004,-7.6208
37.004,-7.8488
37.005,-8.2179
37.006,-8.8095
37.008,-9.7771
37.01,-11.437
37.012,-13.43
37.014,-15.711
37.016,-18.238
37.018,-21.439
37.021,-24.854
37.023,-28.424
37.025,-32.091
37.028,-36.762
37.032,-42.084
37.035,-47.264
37.039,-52.204
37.042,-56.822
37.047,-62.111
37.052,-67.395
37.057,-71.661
37.063,-75.454
37.069,-77.774
37.076,-78.735
37.082,-78.499
37.088,-77.26
37.094,-75.231
37.101,-72.64
37.107,-69.717
37.113,-66.679
37.119,-63.727
37.125,-61.033
37.132,-58.728
37.138,-56.903
37.146,-55.317
37.154,-54.6
37.162,-54.654
37.17,-55.32
37.178,-56.4
37.186,-57.689
37.194,-59.005
37.203,-60.197
37.211,-61.158
37.22,-61.924
37.233,-62.273
37.245,-62.011
37.258,-61.328
37.27,-60.453
37.283,-59.597
37.295,-58.916
37.308,-58.485
37.324,-58.283
37.341,-58.375
37.357,-58.577
37.374,-58.725
37.391,-58.725
37.411,-58.511
37.417,-58.425
37.417,-58.425
37.427,-58.144
37.437,-57.815
37.448,-57.486
37.458,-57.173
37.477,-56.688
37.5,-56.366
37.528,-56.211
37.557,-56.136
37.585,-55.971
37.614,-55.683
37.651,-55.241
37.688,-54.841
37.725,-54.512
37.782,-54.03
37.839,-53.508
37.909,-52.83
38,-51.968
38.001,-51.953
38.002,-51.923
38.004,-51.834
38.005,-51.688
38.007,-51.488
38.009,-51.16
38.013,-50.292
38.019,-48.516
38.025,-46.367
38.031,-44.029
38.037,-41.671
38.043,-39.441
38.049,-37.46
38.055,-35.801
38.062,-34.542
38.068,-33.705
38.074,-33.278
38.08,-33.225
38.086,-33.489
38.092,-34.001
38.099,-34.686
38.105,-35.469
38.111,-36.282
38.118,-37.212
38.126,-38.023
38.133,-38.663
38.143,-39.198
38.155,-39.403
38.165,-39.25
38.174,-38.891
38.184,-38.416
38.194,-37.914
38.204,-37.457
38.213,-37.095
38.226,-36.798
38.243,-36.697
38.26,-36.806
38.276,-36.992
38.293,-37.136
38.309,-37.172
38.329,-37.069
38.349,-36.865
38.369,-36.644
38.389,-36.467
38.414,-36.333
38.447,-36.228
38.481,-36.12
38.5,-36.034
38.533,-35.847
38.577,-35.594
38.621,-35.368
38.679,-35.089
38.752,-34.728
38.845,-34.256
38.945,-33.748
39,-33.47
39,-33.465
39.001,-33.454
39.002,-33.415
39.002,-33.343
39.003,-33.236
39.004,-33.09
39.005,-32.908
39.006,-32.55
39.008,-31.806
39.008,-31.531
39.008,-31.531
39.009,-30.963
39.01,-30.339
39.012,-29.662
39.013,-28.935
39.014,-28.174
39.015,-26.702
39.018,-24.606
39.019,-23.344
39.021,-22.022
39.022,-20.648
39.023,-19.226
39.025,-17.23
39.028,-14.426
39.03,-11.536
39.033,-8.5942
39.035,-6.1418
39.037,-3.6954
39.038,-1.8267
39.04,0.019408
39.04,0.3219
39.041,0.62348
39.041,0.92415
39.044,3.8708
39.046,6.6921
39.049,9.3606
39.052,12.233
39.055,14.831
39.059,17.721
39.063,20.083
39.067,21.897
39.071,23.162
39.075,23.896
39.078,24.13
39.082,23.907
39.086,23.281
39.09,22.311
39.094,21.061
39.098,19.595
39.102,17.977
39.106,16.265
39.11,14.517
39.114,12.781
39.118,11.101
39.122,9.5137
39.126,8.0494
39.128,7.1239
39.13,6.4331
39.133,5.7939
39.135,5.208
39.137,4.7624
39.138,4.3549
39.14,3.9858
39.142,3.6551
39.144,3.3625
39.146,3.1078
39.147,2.8904
39.149,2.7095
39.151,2.5643
39.153,2.4537
39.155,2.363
39.157,2.3212
39.16,2.3256
39.162,2.3898
39.165,2.5138
39.168,2.6918
39.171,2.9175
39.173,3.1849
39.177,3.5524
39.18,3.9602
39.183,4.3975
39.187,4.854
39.19,5.3199
39.194,5.8929
39.198,6.4507
39.202,6.9798
39.207,7.5703
39.212,8.0848
39.218,8.5997
39.226,9.0367
39.234,9.2579
39.24,9.29
39.246,9.2121
39.252,9.0454
39.258,8.8132
39.264,8.539
39.27,8.2451
39.276,7.9517
39.282,7.6757
39.288,7.4305
39.296,7.181
39.304,7.0035
39.313,6.8862
39.322,6.867
39.332,6.9266
39.341,7.04
39.35,7.181
39.359,7.3252
39.369,7.453
39.378,7.5512
39.39,7.6234
39.404,7.6373
39.419,7.5866
39.434,7.5026
39.448,7.4165
39.463,7.3508
39.478,7.316
39.498,7.3127
39.5,7.3156
39.508,7.3271
39.529,7.3604
39.55,7.3838
39.571,7.3863
39.599,7.3643
39.627,7.3331
39.655,7.3105
39.683,7.3015
39.726,7.2976
39.77,7.29
39.813,7.2739
39.883,7.2477
39.954,7.2284
40,7.2185
40.001,7.219
40.001,7.2208
40.002,7.23
40.003,7.2481
40.004,7.2761
40.005,7.3139
40.006,7.3809
40.008,7.5307
40.012,7.897
40.015,8.3742
40.019,8.939
40.023,9.569
40.027,10.243
40.03,10.942
40.035,11.819
40.04,12.674
40.044,13.48
40.05,14.36
40.056,15.107
40.063,15.824
40.07,16.288
40.077,16.505
40.084,16.5
40.091,16.311
40.098,15.985
40.105,15.572
40.112,15.118
40.119,14.666
40.126,14.25
40.133,13.896
40.142,13.566
40.153,13.337
40.164,13.297
40.175,13.405
40.186,13.608
40.197,13.848
40.208,14.075
40.219,14.253
40.23,14.364
40.244,14.407
40.258,14.362
40.272,14.267
40.285,14.159
40.299,14.069
40.313,14.015
40.333,14.001
40.353,14.039
40.372,14.094
40.392,14.137
40.412,14.154
40.442,14.139
40.472,14.11
40.5,14.094
40.535,14.098
40.585,14.118
40.635,14.127
40.686,14.125
40.762,14.126
40.855,14.138
40.955,14.153
41,14.158
41.1,14.172
41.2,14.188
41.3,14.205
41.4,14.223
41.5,14.242
41.6,14.263
41.7,14.284
41.8,14.306
41.9,14.328
42,14.351
42.001,14.354
42.002,14.361
42.004,14.388
42.005,14.434
42.007,14.5
42.009,14.612
42.013,14.928
42.019,15.553
42.025,16.31
42.031,17.131
42.038,17.957
42.044,18.738
42.05,19.432
42.057,20.112
42.065,20.6
42.075,20.944
42.084,20.982
42.094,20.777
42.104,20.412
42.114,19.976
42.123,19.544
42.133,19.177
42.143,18.912
42.155,18.744
42.167,18.735
42.179,18.846
42.191,19.026
42.203,19.223
42.215,19.395
42.227,19.516
42.243,19.585
42.26,19.561
42.276,19.485
42.293,19.401
